Year,Month,Day,Open,High,Low,Close,Volumn,Return
2018,3,19,1.00991,1.01104,1.00671,1.00829,3679,1.00318379
2018,3,18,1.01007,1.01059,1.00964,1.0099,98651,1.00159676
2018,3,16,1.01711,1.01886,1.00944,1.00982,122880,0.99992078
2018,3,15,1.02021,1.0213,1.01678,1.01711,123521,1.00721911
2018,3,14,1.01755,1.02428,1.01753,1.0202,133070,1.00303802
2018,3,13,1.01058,1.01987,1.0105,1.01758,103325,0.99743188
2018,3,12,1.00653,1.01162,1.00638,1.01057,4019,0.99311111
2018,3,11,1.00561,1.0066,1.00536,1.0065,147628,0.99597257
2018,3,9,1.00469,1.00816,1.00095,1.00511,167328,0.99861898
2018,3,8,1.00997,1.01179,1.00344,1.00469,208297,0.99958214
2018,3,7,1.0081,1.01361,1.00595,1.00997,206074,1.00525535
2018,3,6,1.00785,1.01156,1.00649,1.0081,168335,0.99814846
2018,3,5,0.99947,1.00888,0.99833,1.00786,6593,0.99976193
2018,3,4,0.99837,1.00085,0.99837,0.99949,188467,0.99169528
2018,3,2,0.99626,1.00121,0.99482,0.99999,202801,1.00050026
2018,3,1,0.99634,0.99701,0.99127,0.99625,165486,0.99625996
2018,2,28,0.99528,0.9992,0.99406,0.99636,176249,1.00011041
2018,2,27,0.99569,0.99781,0.99344,0.9953,131221,0.99893613
2018,2,26,0.9914,0.99653,0.99091,0.99571,9720,1.00041194
2018,2,25,0.99058,0.99182,0.99058,0.99141,145550,0.99568147
2018,2,23,0.99651,0.99705,0.98731,0.98983,157894,0.99840631
2018,2,22,0.99015,0.998,0.98921,0.99651,186060,1.00674863
2018,2,21,0.99678,0.99911,0.99001,0.99012,171063,0.99358762
2018,2,20,0.99394,0.99761,0.99276,0.99676,119791,1.00670626
2018,2,19,0.99345,0.99507,0.9926,0.99396,4265,0.9971909
2018,2,18,0.99285,0.99365,0.99285,0.99346,165382,0.99949696
2018,2,16,0.9914,0.99522,0.99064,0.99311,178118,0.9996477
2018,2,15,0.98969,0.99344,0.98786,0.99142,205920,0.99829828
2018,2,14,0.98963,0.99204,0.98285,0.98972,146380,0.99828529
2018,2,13,0.98856,0.99106,0.9864,0.98965,150593,0.99992927
2018,2,12,0.98439,0.98972,0.98216,0.98855,5524,0.9988885
2018,2,11,0.98375,0.98459,0.98355,0.98439,244387,0.99579182
2018,2,9,0.98055,0.99021,0.97836,0.98267,247047,0.99825273
2018,2,8,0.98219,0.98544,0.97845,0.98051,190474,0.99780191
2018,2,7,0.98703,0.98838,0.98199,0.98219,291602,1.00171339
2018,2,6,0.98722,0.98852,0.98396,0.98703,210197,1.00492776
2018,2,5,0.98284,0.99055,0.98275,0.98723,9905,1.00020263
2018,2,4,0.98369,0.98498,0.98214,0.98284,196635,0.99555321
2018,2,2,0.98552,0.98575,0.98081,0.98414,178220,1.0013227
2018,2,1,0.99163,0.99196,0.9842,0.98552,189131,1.00140224
2018,1,31,0.99905,0.99905,0.98968,0.99162,153079,1.00618963
2018,1,30,0.99865,0.99966,0.99535,0.99904,154793,1.00748271
2018,1,29,0.99931,1.00054,0.99605,0.9986,5775,0.99955958
2018,1,28,0.9979,0.9998,0.99785,0.99931,193743,1.000711
2018,1,26,0.99386,1.00098,0.99332,0.99875,221909,0.99943961
2018,1,25,0.99417,0.99831,0.99129,0.99387,161979,0.99511389
2018,1,24,0.99368,0.99784,0.99265,0.99417,146256,1.00030185
2018,1,23,0.99718,0.99885,0.99273,0.99369,112909,0.99951719
2018,1,22,0.99906,0.99955,0.99654,0.99718,4539,1.00351216
2018,1,21,0.99759,0.99917,0.99759,0.99908,147749,1.00190537
2018,1,19,0.99356,1.0001,0.99347,0.99759,160763,0.99850863
2018,1,18,0.99191,0.99765,0.98996,0.99356,191545,0.99596026
2018,1,17,0.9904,0.99729,0.98808,0.99189,152273,0.99831918
2018,1,16,0.98935,0.99101,0.98586,0.99036,161385,0.99845749
2018,1,15,0.98542,0.99075,0.98532,0.98931,5688,0.99893978
2018,1,14,0.98531,0.98676,0.98406,0.98544,159481,0.99608818
2018,1,12,0.9875,0.98896,0.98445,0.98615,152651,1.00072049
2018,1,11,0.98337,0.99072,0.98336,0.9875,160586,1.00136896
2018,1,10,0.97432,0.98581,0.97368,0.98336,134759,0.99580759
2018,1,9,0.97395,0.97586,0.97202,0.97431,108793,0.99079686
2018,1,8,0.97407,0.97494,0.97142,0.97393,5330,0.99960998
2018,1,7,0.97547,0.9765,0.97407,0.97407,124675,1.00014375
2018,1,5,0.98222,0.98252,0.9711,0.97592,125137,1.00189925
2018,1,4,0.98202,0.98511,0.98074,0.9822,122263,1.00643495
2018,1,3,0.97934,0.98373,0.97756,0.98202,109322,0.99981674
2018,1,2,0.97925,0.98283,0.9781,0.97934,6358,0.99727093
2018,1,1,0.97704,0.98111,0.97684,0.97922,96954,0.99987747
2017,12,29,0.97928,0.9821,0.9778,0.98069,81297,1.00150119
2017,12,28,0.98321,0.98418,0.979,0.97931,96701,0.99859283
2017,12,27,0.98077,0.98384,0.98076,0.98312,52570,1.00389049
2017,12,26,0.98206,0.98256,0.97992,0.98077,3804,0.99760965
2017,12,25,0.98036,0.98338,0.97889,0.98204,23,1.0012949
2017,12,24,0.97929,0.98093,0.97929,0.98045,104613,0.99838092
2017,12,22,0.98159,0.98739,0.98008,0.98127,105003,1.00083635
2017,12,21,0.9839,0.98432,0.97747,0.98157,114247,1.00030573
2017,12,20,0.98553,0.98765,0.98292,0.98383,119321,1.00230243
2017,12,19,0.9861,0.98819,0.9853,0.98553,113254,1.00172794
2017,12,18,0.98446,0.98752,0.98355,0.98612,6050,1.00059866
2017,12,17,0.98335,0.98485,0.98335,0.98446,10350,0.99831663
2017,12,13,0.97247,0.97422,0.97247,0.97383,108914,0.9892022
2017,12,12,0.96772,0.97391,0.96661,0.97247,99557,0.99860345
2017,12,11,0.96546,0.96959,0.96539,0.96771,4328,0.99510525
2017,12,10,0.96448,0.96587,0.96438,0.96547,107410,0.99768526
2017,12,8,0.96569,0.96695,0.96411,0.96481,116257,0.9993164
2017,12,7,0.96766,0.96816,0.96399,0.96571,131746,1.00093283
2017,12,6,0.96534,0.96876,0.9579,0.96764,124393,1.00199853
2017,12,5,0.96389,0.96926,0.96351,0.96534,119835,0.99762308
2017,12,4,0.96509,0.96739,0.96266,0.96388,6755,0.99848758
2017,12,3,0.96406,0.96552,0.96364,0.96507,165971,1.00123459
2017,12,1,0.97507,0.97677,0.96525,0.96527,128562,1.00020724
2017,11,30,0.97331,0.97845,0.97253,0.97505,126585,1.01013188
2017,11,29,0.9747,0.97472,0.97045,0.97333,118306,0.99823599
2017,11,28,0.97057,0.97565,0.96997,0.97471,105019,1.00141781
2017,11,27,0.96776,0.97139,0.96589,0.97057,3975,0.99575258
2017,11,26,0.96742,0.96786,0.96719,0.96775,109958,0.99709449
2017,11,24,0.9693,0.97012,0.96648,0.96689,101667,0.99911134
2017,11,23,0.96735,0.97039,0.96559,0.96929,127055,1.00248219
2017,11,22,0.96885,0.96946,0.96362,0.96735,132967,0.99799854
2017,11,21,0.96792,0.97127,0.9649,0.96884,108377,1.00154029
2017,11,20,0.96626,0.96796,0.96444,0.96794,11904,0.99907105
2017,11,19,0.96555,0.96651,0.96487,0.96628,121778,0.99828502
2017,11,17,0.96793,0.96818,0.96119,0.96604,114892,0.99975162
2017,11,16,0.96916,0.97137,0.9663,0.96791,143692,1.00193574
2017,11,15,0.97184,0.97225,0.96385,0.96916,118177,1.00129144
2017,11,14,0.96991,0.97324,0.96982,0.97186,88906,1.00278592
2017,11,13,0.97055,0.97221,0.96899,0.96989,4646,0.99797296
2017,11,12,0.97017,0.97128,0.96995,0.97057,97518,1.00070111
2017,11,10,0.97402,0.97475,0.97076,0.97175,112195,1.00121578
2017,11,9,0.97732,0.97849,0.97228,0.97404,93579,1.00235657
2017,11,8,0.9769,0.97831,0.97604,0.97732,106245,1.00336742
2017,11,7,0.97733,0.97878,0.97528,0.9769,92505,0.99957025
2017,11,6,0.97625,0.97905,0.97577,0.97733,3760,1.00044017
2017,11,5,0.97607,0.97691,0.97595,0.97624,107227,0.99888472
2017,11,3,0.98789,0.98801,0.97551,0.97623,136929,0.99998976
2017,11,2,0.98775,0.99144,0.9877,0.98791,133427,1.01196439
